epoch,train_loss,train_accuracy,test_accuracy
1,0.32175134300986924,0.8948666666666667,0.9734
2,0.09798350154956181,0.9697166666666667,0.9859
3,0.06748233720461527,0.97925,0.9889
4,0.0520707183552285,0.9837166666666667,0.9887
5,0.04515744766071439,0.9864833333333334,0.9897
6,0.03685770354572063,0.9889166666666667,0.9901
7,0.035215838445164266,0.9895166666666667,0.9917
8,0.028629201400124777,0.9912166666666666,0.9931
9,0.027021677922907595,0.99125,0.9927
10,0.022160259845433756,0.99255,0.9942
11,0.021092409739627813,0.9932333333333333,0.9922
12,0.019045472456483793,0.9939,0.9911
13,0.01669638310279697,0.9947166666666667,0.9941
14,0.015525460296904202,0.9948,0.992
15,0.013105997476168462,0.9959,0.9932
16,0.013578695199644912,0.9956666666666667,0.9912
17,0.013356097887072246,0.9956833333333334,0.9931
18,0.010593837960991854,0.99655,0.9939
19,0.010316963120987444,0.9965,0.9949
20,0.010390306548049072,0.9967,0.9919
